Masayoshi Son§§PERSONNE§§§§§§
Larry Ellison§§PERSONNE§§§§§§
hypernormalisation§§POLITIQUE§§[HyperNormalisation](https://fr.wikipedia.org/wiki/HyperNormalisation) est un film documentaire britannique réalisé par [[Adam Curtis]], sorti en 2016.<br>Dans le film [@AdamCurtis2016], Curtis avance que depuis les années 1970, les gouvernements, la finance et les utopistes technologiques ont abandonné la complexité du « monde réel » et ont construit un simple « monde factice » qui est géré par les entreprises et maintenu stable par les politiciens.§§§§
hégémonie perceptuelle§§POLITIQUE§§§§§§
colonisation culturelle§§GÉOPOLITIQUE§§§§§§
système de réalités concurrentes§§GÉOPOLITIQUE§§§§§§
dispositif narratif§§POLITIQUE§§§§§§
architecture de la suggestion§§PSYCHOLOGIE§§§§§§
litératie hypnotique§§POLITIQUE§§§§§§
hypnose probabiliste§§PSYCHOLOGIE§§§§§§
induction hypnotique§§PSYCHOLOGIE§§§§§§
économie de la transe§§SOCIOÉCONOMIE§§§§§§
hypnocratie§§POLITIQUE§§§§§§
prédateur§§POLITIQUE§§§§§§
techno-optimisme§§POLITIQUE§§§§§§
vassalisation heureuse§§GÉOPOLITIQUE§§§§§§
souveraineté numérique§§GÉOPOLITIQUE§§§§§§
oligarque de la Silicon Valley§§POLITIQUE§§§§§§
autoritarisme numérique§§POLITIQUE§§§§§§
soumission§§POLITIQUE§§§§§§
vaincre la mort§§POLITIQUE§§§§§§
colonisation de l'univers§§GÉOPOLITIQUE§§§§§§
déconstruction des institutions§§POLITIQUE§§§§§§
Somalie numérique§§POLITIQUE§§§§§§
chaos§§POLITIQUE§§§§§§
mouvement néoréactionnaire§§POLITIQUE§§§§§§
contrôle total de la population§§SOCIOÉCONOMIE§§§§§§
complexe techno-industriel§§SOCIOÉCONOMIE§§§§§§
aggiornamento schmittien§§SOCIOÉCONOMIE§§§§§§
accélérationnisme§§SOCIOÉCONOMIE§§§§§§
machine algorithmique§§POLITIQUE§§§§§§
technocratie§§POLITIQUE§§Le mouvement technocratique est un mouvement social promouvant un ordre social technocratique, qui a connu une certaine importance et notoriété dans les années 1930 aux États-Unis et au Canada, au plus fort de la Grande Dépression. Trouvant ses racines dans les œuvres de Thorstein Veblen et de Edward Bellamy, ce mouvement a principalement été porté par un personnage controversé, Howard Scott, qui créa successivement la Technical Alliance en 1920, l'Energy Survey of North America en 1932 et Technocracy Inc. en 1933 [@Akin1977; @Adair1970].§§Inspiration [@bellamy1888; @Veblen1921].§technocracy, technate.§<p><img src="https://bostonraremaps.com/wp-content/uploads/2022/08/BRM4763-Technocracy-Series-A-No.-19-July-1940_map_lowres-1-1024x712.jpg" alt="The Technate of America, complete with Greenland and Panama!" width="256" /></p><p>Le Technat d'Amérique, complet avec Groenland et Panama ! (1932)</p><p>Sur le parallèle entre le DOGE, mis en place par Trump, et l'idéologie technocratique cf. [@Leo2025; @Townley2025].</p>
